epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,194.976,0.25606,0.38852,0.93009,0.98396,1,0.995,0.97202,0.24483,0.44005,0.83641,0.000280723,0.000280723,0.000280723
86,197.176,0.2887,0.40652,0.95247,0.96958,1,0.995,0.97252,0.23944,0.4575,0.83115,0.00026422,0.00026422,0.00026422
87,199.457,0.26127,0.40247,0.93888,0.97168,1,0.995,0.96008,0.23832,0.44188,0.82758,0.000247716,0.000247716,0.000247716
88,201.708,0.26958,0.40758,0.93714,0.97866,1,0.995,0.95913,0.2375,0.43504,0.82558,0.000231213,0.000231213,0.000231213
89,204.103,0.26714,0.42834,0.921,0.98684,1,0.995,0.96957,0.23471,0.41667,0.82242,0.00021471,0.00021471,0.00021471
90,206.352,0.2734,0.41294,0.89371,0.99018,1,0.995,0.97052,0.22724,0.40745,0.8186,0.000198206,0.000198206,0.000198206
91,215.842,0.18719,0.69591,0.80583,0.99227,1,0.995,0.96353,0.22446,0.40206,0.81616,0.000181703,0.000181703,0.000181703
92,218.066,0.19136,0.73533,0.85352,0.99469,1,0.995,0.96417,0.23059,0.41373,0.81751,0.0001652,0.0001652,0.0001652
93,220.322,0.1798,0.59781,0.8524,0.9942,1,0.995,0.96617,0.24405,0.4373,0.82559,0.000148696,0.000148696,0.000148696
94,222.589,0.1553,0.57848,0.87505,0.99259,1,0.995,0.96753,0.25963,0.45922,0.83341,0.000132193,0.000132193,0.000132193
95,224.784,0.18027,0.63213,0.88178,0.98785,1,0.995,0.96844,0.27084,0.47907,0.83867,0.00011569,0.00011569,0.00011569
96,226.951,0.16979,0.61969,0.87376,0.98133,1,0.995,0.97618,0.27096,0.4937,0.83894,9.91865e-05,9.91865e-05,9.91865e-05
97,229.2,0.16939,0.64999,0.87751,0.97382,1,0.995,0.96794,0.26686,0.49522,0.83528,8.26832e-05,8.26832e-05,8.26832e-05
98,231.49,0.16082,0.60117,0.83723,0.96272,1,0.995,0.96819,0.25663,0.48937,0.82871,6.61799e-05,6.61799e-05,6.61799e-05
99,233.758,0.18393,0.60249,0.80424,0.97233,1,0.995,0.9666,0.24542,0.47343,0.82301,4.96766e-05,4.96766e-05,4.96766e-05
100,235.925,0.15125,0.593,0.86851,0.9754,1,0.995,0.9671,0.23735,0.46089,0.81837,3.31733e-05,3.31733e-05,3.31733e-05
